what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084598388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084608007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084621351
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084621498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084629709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084631936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084632076
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084632179
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084634872
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084635026
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084638593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084638874
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291084640007
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084645026
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084645130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291084649898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084651507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084703152
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084705007
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084718081
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084733695
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291084735929
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1291084740518
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084740553
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1291084741350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084742603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084743773
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1291084746266
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291084746279
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084747011
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084756080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084756243
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084756371
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084756518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084756732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291084768692
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084771676
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084772030
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084772228
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084772428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291084772860
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291084773989
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084795344
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084797917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291084811311
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084815527
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084815739
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291084818973
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084831132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084834175
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084840878
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291084843120
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084843169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084844219
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1291084849386
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084849420
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1291084850661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084851859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084852695
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1291084854621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291084854637
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084855549
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084857768
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084870969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084912276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1291084912307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084915092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084917537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084922918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084923158
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084929926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084931857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084931992
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084932199
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084935198
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084938783
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084941396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084942564
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291084942584
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084948865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084951438
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291084951451
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1291084954889
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291084954922
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1291084955966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084957075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084957784
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1291084960312
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291084960324
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291084963446
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084966611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084969136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291084970545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291085230557
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291085231519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291085237202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291085238420
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291085284216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291085285593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291085290128
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291085292784
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291085293643
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291085295450
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291085295451
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291085296182
