what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288002789194
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288002848004
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1288002851808
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288002855790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288002859733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1288002882999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288002884357
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288002901887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288002904647
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002906902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002908331
activated,perspective,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.Perspective",1288002909774
activated,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.ThreadView",1288002909808
activated,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.LogCatView",1288002912837
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002926817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002945400
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1288002949053
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288002949087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002977450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288002978262
activated,perspective,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.Perspective",1288002979866
activated,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.ThreadView",1288002979891
activated,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.LogCatView",1288003013916
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1288003029710
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288003029742
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003072902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003130494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288003221340
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288003225712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003253799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003270388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003276959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003411372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003419130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003523936
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003637603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003637801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003637922
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003638081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003638257
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003638538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003640914
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003641088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003641240
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003641392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003641568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003641792
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1288003663936
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288003665634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003674909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288003680866
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003831723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003849280
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288003849706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288004037667
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004038431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004131116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004299246
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004306018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288004310807
