what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1290993369086
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993374861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993403505
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290993403544
opened,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.DeviceView",1290993404933
opened,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1290993405236
opened,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.ThreadView",1290993405330
activated,view,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.views.ThreadView",1290993405420
activated,perspective,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms.Perspective",1290993405500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993412101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993415002
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993415764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993423614
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1290993423712
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290993423739
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1290993424956
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1290993429374
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290993429385
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290993431749
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1290993436717
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993438316
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993471481
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290993471522
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1290993477193
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1290993478789
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1290993480308
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1290993487061
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290993487072
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993488695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993489612
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290993490218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993491076
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993510334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290993531703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993533049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993538314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993554316
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993556122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1290993562084
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993563770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993707315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290993733389
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290993736478
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1290993738331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993739428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993764979
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290993765021
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1290993768257
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1290993770149
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1290993771554
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1290993777565
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290993777578
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290993778522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993782700
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290993791651
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290993810214
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993827375
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993833749
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993833893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993834036
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993834189
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993834333
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993834493
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993834645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290993834804
