what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291081874574
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1291081877505
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1291081879341
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1291081879380
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291081879960
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291081879979
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1291081880012
started,bundle,org.eclipse.datatools.connectivity,1.2.0.v201005270426,"org.eclipse.datatools.connectivity",1291081881094
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.0.v201005182319,"org.eclipse.datatools.connectivity.ui",1291081881097
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1291081881098
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres.ui",1291081881140
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.0.v201005270630,"org.eclipse.datatools.connectivity.sqm.core",1291081881246
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1291081881255
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1291081881313
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1291081881352
started,bundle,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets",1291081882209
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1291081882232
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1291081882292
opened,view,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1291081882889
activated,view,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1291081882936
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1291081884363
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1291081884949
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291081889911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081910211
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291081911840
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291081911841
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291081911843
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291081911846
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291081911847
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291081911849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081911964
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1291081911978
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291081911978
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291081912047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081915183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081922297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291081922312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081925197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081942338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081983217
error,log,,,"Failed to load properties file for project 'DYComClientForJavaSample'",1291081994059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291081994255
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1291081995539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082005964
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1291082007011
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.ear for object P/DYComClientForJavaSample",1291082007013
error,log,,,"Could not write metadata for 'C:\\Users\\jac\\Documents\\Visual Studio 2010\\Projects\\DYComunication\\androidTestClient\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\DYComClientForJavaSample\\.indexes\\af\\history.index'.",1291082007018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082007156
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1291082007168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291082007169
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082007321
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082007323
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082008714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082014743
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1291082015778
started,bundle,org.eclipse.jpt.ui,2.3.0.v201005190001,"org.eclipse.jpt.ui",1291082023363
started,bundle,org.eclipse.jpt.db,1.2.200.v201004290000,"org.eclipse.jpt.db",1291082023463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082023953
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082041410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082050046
started,bundle,org.eclipse.jst.ejb.ui,1.1.500.v201004280901,"org.eclipse.jst.ejb.ui",1291082199837
error,log,,,"Failed to load properties file for project 'DYComClientForJavaSample'",1291082206164
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082206336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1291082207882
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.ejb for object P/DYComClientForJavaSample",1291082207883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082229420
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1291082230641
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.ejb for object P/DYComClientForJavaSample",1291082230642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082230802
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1291082230815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291082230815
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082231454
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082231457
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082231459
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082231462
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082231463
error,log,,,"Unable to get nature of project 'DYComClientForJavaSample'.",1291082231466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082233644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082239449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291082298451
